year,mean,p025,p050,p500,p975,sd
1971,-0.6669,-0.7118,-0.6690,-0.6690,-0.6087,0.0289
1972,-0.7304,-0.8371,-0.7167,-0.7167,-0.6666,0.0560
1973,-0.3157,-0.3918,-0.3171,-0.3171,-0.2157,0.0470
1974,-0.7570,-0.8115,-0.7468,-0.7468,-0.7209,0.0295
1975,-0.5199,-0.5504,-0.5223,-0.5223,-0.4551,0.0232
1976,-0.8315,-0.9139,-0.8206,-0.8206,-0.7912,0.0352
1977,-0.3794,-0.4095,-0.3827,-0.3827,-0.3281,0.0214
1978,-0.5404,-0.5901,-0.5438,-0.5438,-0.4933,0.0333
1979,-0.4807,-0.5634,-0.4993,-0.4993,-0.4062,0.0572
1980,-0.3055,-0.4025,-0.3204,-0.3204,-0.2046,0.0624
1981,-0.1030,-0.1663,-0.1222,-0.1222,-0.0190,0.0540
1982,-0.5288,-0.6059,-0.5412,-0.5412,-0.4637,0.0492
1983,-0.1812,-0.2332,-0.1903,-0.1903,-0.1332,0.0349
1984,-0.5190,-0.5891,-0.5078,-0.5078,-0.4546,0.0426
1985,-0.5096,-0.5864,-0.4996,-0.4996,-0.4755,0.0316
1986,-0.3740,-0.4162,-0.3686,-0.3686,-0.3405,0.0229
1987,-0.2419,-0.3460,-0.2138,-0.2138,-0.1808,0.0563
1988,-0.0740,-0.1315,-0.0671,-0.0671,0.0018,0.0357
1989,-0.2645,-0.3295,-0.2708,-0.2708,-0.2081,0.0400
1990,0.0168,-0.0145,0.0187,0.0187,0.0445,0.0183
1991,-0.0653,-0.1060,-0.0827,-0.0827,-0.0000,0.0355
1992,-0.3859,-0.4193,-0.3843,-0.3843,-0.3671,0.0122
1993,-0.3024,-0.3666,-0.2905,-0.2905,-0.2651,0.0294
1994,-0.1468,-0.2140,-0.1372,-0.1372,-0.1025,0.0347
1995,0.1316,0.0939,0.1248,0.1248,0.1783,0.0249
1996,-0.1947,-0.2398,-0.1988,-0.1988,-0.1321,0.0295
1997,-0.0017,-0.0840,0.0212,0.0212,0.0542,0.0460
1998,0.3379,0.2489,0.3579,0.3579,0.3920,0.0478
1999,0.0835,0.0160,0.0923,0.0923,0.1247,0.0340
2000,0.0043,-0.0305,0.0054,0.0054,0.0464,0.0227
2001,0.1962,0.1514,0.2030,0.2030,0.2258,0.0236
2002,0.3140,0.2782,0.3061,0.3061,0.3787,0.0287
2003,0.2993,0.2766,0.2945,0.2945,0.3301,0.0178
2004,0.1485,0.0979,0.1586,0.1586,0.1937,0.0318
2005,0.4513,0.3884,0.4397,0.4397,0.5379,0.0536
2006,0.3646,0.3126,0.3552,0.3552,0.4197,0.0370
2007,0.4801,0.3955,0.4692,0.4692,0.5688,0.0615
2008,0.2357,0.1782,0.2408,0.2408,0.2801,0.0344
2009,0.3049,0.2398,0.3059,0.3059,0.3720,0.0417
2010,0.5239,0.4599,0.5272,0.5272,0.5856,0.0445
2011,0.3167,0.2234,0.3040,0.3040,0.4464,0.0721
2012,0.3506,0.2682,0.3208,0.3208,0.4504,0.0692
2013,0.3988,0.3389,0.3873,0.3873,0.4695,0.0413
2014,0.4192,0.3287,0.4163,0.4163,0.4998,0.0549
2015,0.6808,0.5947,0.6849,0.6849,0.7314,0.0416
2016,0.8908,0.8005,0.8655,0.8655,1.0187,0.0699
2017,0.7410,0.6541,0.7222,0.7222,0.8605,0.0621
2018,0.5809,0.4784,0.5501,0.5501,0.7326,0.0797
2019,0.7830,0.6859,0.7657,0.7657,0.9161,0.0684
2020,0.9218,0.8263,0.8939,0.8939,1.0572,0.0673
2021,0.6919,0.5722,0.6874,0.6874,0.7950,0.0711
2022,0.6739,0.5781,0.6581,0.6581,0.7990,0.0684
2023,1.0853,0.9944,1.0703,1.0703,1.2077,0.0617
2024,1.2489,1.1190,1.2532,1.2532,1.3820,0.0668
2025,1.0633,0.9141,1.0692,1.0692,1.2371,0.0781
